NIMI ;OSOITE;POSTINUMERO;POSTITOIMIPAIKKA;KUNTA;LUVANALKUPVM;LUPATYYPPI;Y-TUNNUS
K-Market Perälä;Toivakantie 30;41660;Toivakka;Toivakka;15.03.2021;Luovutuspaikka;1505551-4
K-Market Perälä;Toivakantie 30;41660;Toivakka;Toivakka;15.03.2021;Vähittäismyyntilupa/max. 5.5 %;3188848-7
K-Market Petsamontie;Petsamontie 5;99800;Ivalo;Inari;01.02.2021;Vähittäismyyntilupa/max. 5.5 %;3176705-2
K-Market Peurasaari;Miilukatu 6;94720;Kemi;Kemi;15.05.2017;Vähittäismyyntilupa/max. 5.5 %;N/A
K-Market Piccolo;Itäkunnaantie 4;68660;Pietarsaari;Pietarsaari;06.03.2019;Vähittäismyyntilupa/max. 5.5 %;2974483-9
K-Market Pielisherkku;Kirkkotie 4;83900;Juuka;Juuka;02.10.2006;Vähittäismyyntilupa/max. 5.5 %;1070891-8
K-Market Pihlajalaakso;Poukamankatu 6;70340;Kuopio;Kuopio;24.07.2017;Vähittäismyyntilupa/max. 5.5 %;2830030-4
K-Market Pihlajaniemi;Nuottamiehenkatu 2;57600;Savonlinna;Savonlinna;13.07.2020;Vähittäismyyntilupa/max. 5.5 %;N/A
K-Market Pihlajisto;Hattelmalantie 2;00710;Helsinki;Helsinki;01.02.2021;Vähittäismyyntilupa/max. 5.5 %;2975037-4
K-Market Pihlava;Kiviaidantie 11;28800;Pori;Pori;16.01.2013;Vähittäismyyntilupa/max. 5.5 %;2522428-9
K-Market Pikku Huopalahti;Tilkankatu 5;00300;Helsinki;Helsinki;22.03.2023;Vähittäismyyntilupa/max. 5.5 %;N/A
K-Market Pikku-Juhana;Juhanintie 1;28840;Pori;Pori;07.05.2018;Vähittäismyyntilupa/max. 5.5 %;2522428-9
K-Market Pikku-Kamppi;Salomonkatu 17;00100;Helsinki;Helsinki;18.06.2020;Vähittäismyyntilupa/max. 5.5 %;1731549-8
K-Market Pikku-Leevi;Huhdintie 14;31700;Urjala As;Urjala;05.02.2018;Vähittäismyyntilupa/max. 5.5 %;0530477-5
K-Market PikkuKippari;Meteoritie 2;21100;Naantali;Naantali;01.06.2022;Vähittäismyyntilupa/max. 5.5 %;1906437-0
K-Market Pikkulaiva;Espoonlahdenkatu 4;02320;Espoo;Espoo;31.03.2022;Vähittäismyyntilupa/max. 5.5 %;2899399-9
K-Market Pikkusisko;Yhdyskunnantie 22;00680;Helsinki;Helsinki;19.02.2018;Vähittäismyyntilupa/max. 5.5 %;1759373-8
K-Market Pirkka;Laihiantie 43;66400;Laihia;Laihia;01.02.2020;Vähittäismyyntilupa/max. 5.5 %;3095043-7
K-Market Pirkkatori;Halikontie 2;24800;Halikko;Salo;08.04.2015;Vähittäismyyntilupa/max. 5.5 %;1616884-4
K-Market Pitkäkangas;Opintie 2;90460;Oulunsalo;Oulu;12.06.2017;Vähittäismyyntilupa/max. 5.5 %;N/A
K-Market Pohjantähti;Louhentie 2;02130;Espoo;Espoo;01.03.2022;Vähittäismyyntilupa/max. 5.5 %;2274153-9
K-Market Pohjoinen Rautatiekatu;Pohjoinen Rautatiekatu 30;00100;Helsinki;Helsinki;09.04.2017;Vähittäismyyntilupa/max. 5.5 %;N/A
K-Market Pomeranssi;Vanhatie 28;29630;Pomarkku;Pomarkku;15.08.2016;Vähittäismyyntilupa/max. 5.5 %;1880258-9
K-Market Pontela;Pontelantie 3;21500;Piikkiö;Kaarina;18.06.2018;Vähittäismyyntilupa/max. 5.5 %;2473427-9
K-Market Porkkana;Asematie 8;41900;Petäjävesi;Petäjävesi;09.04.2020;Luovutuspaikka;1505551-4
K-Market Porkkana;Asematie 8;41900;Petäjävesi;Petäjävesi;01.01.2017;Vähittäismyyntilupa/max. 5.5 %;2796127-4
K-Market Pudas;Länsipohjankatu 19;95420;Tornio;Tornio;06.11.2017;Vähittäismyyntilupa/max. 5.5 %;2374009-5
K-Market Puijon Pähkinä;Sammakkolammentie 6;70200;Kuopio;Kuopio;01.06.2010;Vähittäismyyntilupa/max. 5.5 %;1788502-8
K-Market Puistori;Puistolantori 1;00760;Helsinki;Helsinki;07.03.2021;Vähittäismyyntilupa/max. 5.5 %;N/A
K-Market Puistotie;Puistotie 3;05200;Rajamäki;Nurmijärvi;07.05.2018;Vähittäismyyntilupa/max. 5.5 %;2647562-9
K-Market Pukinmäki;Eskolantie 2;00720;Helsinki;Helsinki;01.01.2021;Vähittäismyyntilupa/max. 5.5 %;N/A
K-Market Pulkkila;Pulkkilantie 21;92600;Pulkkila;Siikalatva;01.12.2021;Vähittäismyyntilupa/max. 5.5 %;3244979-3
K-Market Puuvillatehtaankatu;Puuvillatehtaankatu 12;33210;Tampere;Tampere;29.05.2017;Vähittäismyyntilupa/max. 5.5 %;2675176-9
K-Market Pyhäjoki;Vanhatie 44;86100;Pyhäjoki;Pyhäjoki;01.05.2022;Vähittäismyyntilupa/max. 5.5 %;N/A
K-Market Pyhäjärvi;Ollintie 9;86800;Pyhäsalmi;Pyhäjärvi;01.07.2013;Vähittäismyyntilupa/max. 5.5 %;N/A
K-Market Pyhäntä;Keskustie 10;92930;Pyhäntä;Pyhäntä;01.06.2011;Vähittäismyyntilupa/max. 5.5 %;2405810-0
K-Market Pyhäntähti;Kultakeronkatu 4;98530;Pyhätunturi;Pelkosenniemi;10.12.1998;Vähittäismyyntilupa/max. 5.5 %;0512622-7
K-Market Pyhäntähti;Pyhätunturi;98530;Pyhätunturi;Pelkosenniemi;14.01.1998;Luovutuspaikka;1505551-4
K-Market Pyykösjärvi;Järvenkorventie 4;90550;Oulu;Oulu;01.03.2022;Vähittäismyyntilupa/max. 5.5 %;3262486-2
K-Market Pyynikinkulma;Satamakatu 17;33200;Tampere;Tampere;01.02.2022;Vähittäismyyntilupa/max. 5.5 %;3255159-5
K-Market Pörhölänkangas;Kellolahdentie 1;94450;Keminmaa;Keminmaa;23.10.2017;Vähittäismyyntilupa/max. 5.5 %;2854647-8
K-Market Pöykkölä;Muonakuja 1;96460;Rovaniemi;Rovaniemi;01.04.2020;Vähittäismyyntilupa/max. 5.5 %;3121437-8
K-Market Rahakamarinkatu;Rahakamarinkatu 1;00240;Helsinki;Helsinki;01.06.2021;Vähittäismyyntilupa/max. 5.5 %;3208629-1
K-Market Rahtimiehentie;Rahtimiehentie 1;89800;Suomussalmi kk;Suomussalmi;19.06.2017;Vähittäismyyntilupa/max. 5.5 %;2760240-7
K-Market Raivio;Asemakatu 20;38210;Sastamala;Sastamala;20.12.2017;Vähittäismyyntilupa/max. 5.5 %;2197125-2
K-Market Ranta-Mutala;Ranta-Mutalantie 100;80160;Joensuu;Joensuu;01.09.2022;Vähittäismyyntilupa/max. 5.5 %;N/A
K-Market Rantakatu;Rantakatu 57;92100;Raahe;Raahe;16.10.2017;Vähittäismyyntilupa/max. 5.5 %;2806645-8
K-Market Rantaperkiö;Kolmionkatu 4;33900;Tampere;Tampere;16.04.2018;Vähittäismyyntilupa/max. 5.5 %;N/A
K-Market Rantsila;Paavolantie 21;92500;Rantsila;Siikalatva;01.09.2010;Vähittäismyyntilupa/max. 5.5 %;2345341-6
K-Market Rastila;Retkeilijänkatu 3;00980;Helsinki;Helsinki;01.12.2018;Vähittäismyyntilupa/max. 5.5 %;2880778-9
K-Market Ratakatu;Ratakatu 31;53100;Lappeenranta;Lappeenranta;17.03.2022;Vähittäismyyntilupa/max. 5.5 %;N/A
K-Market Rauhala;Mällinkatu 1;48600;Kotka;Kotka;03.09.2020;Vähittäismyyntilupa/max. 5.5 %;2500685-5
K-Market Rauhankatu;Rauhankatu 9;00170;Helsinki;Helsinki;26.05.2019;Vähittäismyyntilupa/max. 5.5 %;2452923-2
K-Market Rautalampi;Kuopiontie 32;77700;Rautalampi;Rautalampi;01.02.2023;Vähittäismyyntilupa/max. 5.5 %;3302576-5
K-Market Rautatienkatu;Rautatienkatu 9;15100;Lahti;Lahti;05.06.2017;Vähittäismyyntilupa/max. 5.5 %;N/A
K-Market Rautatientori;Läntinen Pitkäkatu 37;20100;Turku;Turku;01.03.2021;Vähittäismyyntilupa/max. 5.5 %;N/A
K-Market Rautionkylä;Niskapietiläntie 7;55910;Imatra;Imatra;01.04.2023;Vähittäismyyntilupa/max. 5.5 %;N/A
K-Market Redi;Hermannin rantatie 5;00580;Helsinki;Helsinki;01.12.2021;Vähittäismyyntilupa/max. 5.5 %;3238785-2
K-Market Reijola;Mulonväylä 970;80330;Reijola;Joensuu;14.02.2019;Vähittäismyyntilupa/max. 5.5 %;2716060-2
K-Market Reimarla;Konalantie 6-8;00370;Helsinki;Helsinki;01.02.2019;Vähittäismyyntilupa/max. 5.5 %;2964288-3
K-Market Reisjärvi;Kirkkotie 4 A;85900;Reisjärvi;Reisjärvi;18.05.1990;Vähittäismyyntilupa/max. 5.5 %;0617798-2
K-Market Reissumies;Lohenpyrstö 2;87700;Kajaani;Kajaani;20.03.1989;Vähittäismyyntilupa/max. 5.5 %;0634424-2
K-Market Riistaherkku;Keskustie 15;71160;Riistavesi;Kuopio;01.04.2019;Vähittäismyyntilupa/max. 5.5 %;2411066-9
K-Market Rinkeli;Kaartilantie 9;57230;Savonlinna;Savonlinna;04.09.2015;Vähittäismyyntilupa/max. 5.5 %;0671693-1
K-Market Riskiläkuja;Riskiläkuja 2;01450;Vantaa;Vantaa;11.12.2021;Vähittäismyyntilupa/max. 5.5 %;N/A
K-Market Ristiina;Kitereentie 1;52300;Ristiina;Mikkeli;01.03.2017;Vähittäismyyntilupa/max. 5.5 %;2346623-3
K-Market Roba;Iso Roobertinkatu 20-22;00120;Helsinki;Helsinki;01.02.2023;Vähittäismyyntilupa/max. 5.5 %;1806484-6
K-Market Rovakatu;Rovakatu 3;96100;Rovaniemi;Rovaniemi;18.09.2017;Vähittäismyyntilupa/max. 5.5 %;2843412-6
K-Market RukaValley;Bistrotie 2;93830;Rukatunturi;Kuusamo;31.01.2020;Vähittäismyyntilupa/max. 5.5 %;1924860-4
K-Market Rukankylä;Rukankyläntie 8;93830;Rukatunturi;Kuusamo;20.12.2004;Vähittäismyyntilupa/max. 5.5 %;1924860-4
K-Market Runoilijankulma;Honkalantie 2;34600;Ruovesi;Ruovesi;01.07.2022;Vähittäismyyntilupa/max. 5.5 %;3286156-9
K-Market Ruokamestari;Linnansalmentie 12;73100;Lapinlahti;Lapinlahti;01.02.2023;Vähittäismyyntilupa/max. 5.5 %;1512217-4
K-Market Ruokasaari;Peltosaarenkatu 1;11130;Riihimäki;Riihimäki;01.03.2018;Vähittäismyyntilupa/max. 5.5 %;2130492-7
K-Market Ruokatori;Yliopistonkatu 34;20100;Turku;Turku;02.10.2017;Vähittäismyyntilupa/max. 5.5 %;2841279-5
K-Market Ruokavinkki;Kangaskontiontie 15;90240;Oulu;Oulu;14.02.2023;Vähittäismyyntilupa/max. 5.5 %;N/A
K-Market Ruokavinkki;Voionmaankatu 7;40700;Jyväskylä;Jyväskylä;05.09.2016;Vähittäismyyntilupa/max. 5.5 %;1484175-9
K-Market Ruokolahti;Rasilantie 40;56100;Ruokolahti;Ruokolahti;01.04.2023;Vähittäismyyntilupa/max. 5.5 %;N/A
K-Market Ruovesi;Urheilutie 1;34600;Ruovesi;Ruovesi;01.07.2022;Vähittäismyyntilupa/max. 5.5 %;3286156-9
K-Market Ruskeasuo;Kiskontie 22;00280;Helsinki;Helsinki;15.03.2023;Vähittäismyyntilupa/max. 5.5 %;N/A
K-Market Rusko;Ohjaluodontie 2;21290;Rusko;Rusko;01.05.2023;Vähittäismyyntilupa/max. 5.5 %;3350312-2
K-Market Rusko;Ohjaluodontie 2;21290;Rusko;Rusko;12.11.2018;Vähittäismyyntilupa/max. 5.5 %;2942993-5
K-Market Ruukintie;Ruukintie 20;60100;Seinäjoki;Seinäjoki;01.04.2020;Vähittäismyyntilupa/max. 5.5 %;3119997-2
K-Market Ruukki;Siikasavontie 2;92400;Ruukki;Siikajoki;21.10.2007;Vähittäismyyntilupa/max. 5.5 %;2145507-1
K-Market Ruusu;Puistokatu 7;20100;Turku;Turku;12.10.2018;Vähittäismyyntilupa/max. 5.5 %;2932882-7
K-Market Ruutana;Ruutanantie 869;36110;Ruutana;Kangasala;01.02.2019;Vähittäismyyntilupa/max. 5.5 %;2961698-4
K-Market Rypysuo;Rypysuontie 68;70280;Kuopio;Kuopio;01.03.2023;Vähittäismyyntilupa/max. 5.5 %;2802346-6
K-Market Rytimäki;Kaanaanmaantie 2;67300;Kokkola;Kokkola;01.03.2023;Vähittäismyyntilupa/max. 5.5 %;3309168-2
K-Market Röksä;Kirjavalantie 66;59410;Kirjavala;Parikkala;01.10.2001;Vähittäismyyntilupa/max. 5.5 %;1712348-8
K-Market Röykkä;Ketunkopintie 2;05100;Röykkä;Nurmijärvi;28.08.2017;Vähittäismyyntilupa/max. 5.5 %;2640961-3
K-Market Saarentaus;Viljamaantie 9;04920;Saarentaus;Mäntsälä;21.07.2022;Vähittäismyyntilupa/max. 5.5 %;N/A
K-Market Saarijärvi;Paavontie 28;43100;Saarijärvi;Saarijärvi;01.01.2016;Vähittäismyyntilupa/max. 5.5 %;2725050-1
K-Market Saarinen;Ryttyläntie 1;12310;Ryttylä;Hausjärvi;01.02.1999;Vähittäismyyntilupa/max. 5.5 %;N/A
K-Market Saariselän Pikku Kuukkeli;Kelotie 2;99830;Saariselkä;Inari;31.03.2022;Vähittäismyyntilupa/max. 5.5 %;1001546-8
K-Market Sahrami;Isoniementie 1;36420;Sahalahti;Kangasala;28.02.2011;Vähittäismyyntilupa/max. 5.5 %;2170605-3
K-Market Sairio;Viertokatu 33;13220;Hämeenlinna;Hämeenlinna;01.02.2019;Vähittäismyyntilupa/max. 5.5 %;2964274-4
K-Market Saksala;Saarnikatu 3;15520;Lahti;Lahti;17.10.2021;Vähittäismyyntilupa/max. 5.5 %;N/A
K-Market Salla;Kansantie 1;98900;Salla;Salla;16.02.2023;Vähittäismyyntilupa/max. 5.5 %;2639470-6
K-Market Saloinen;Kirkkoluodontie 1;92160;Raahe;Raahe;10.04.2017;Vähittäismyyntilupa/max. 5.5 %;2806645-8
K-Market Sammonkaari;Sammonkatu 14 A;87100;Kajaani;Kajaani;15.09.2022;Vähittäismyyntilupa/max. 5.5 %;2899392-1
K-Market Sampo;Sammonojantie 11;13500;Hämeenlinna;Hämeenlinna;12.07.2019;Vähittäismyyntilupa/max. 5.5 %;3001595-9
K-Market Sampola;Sammonkatu 8-10;33540;Tampere;Tampere;01.08.2018;Vähittäismyyntilupa/max. 5.5 %;2921857-2
K-Market Sandström;Petalaxvägen 21;66240;Petolahti;Maalahti;02.03.2021;Vähittäismyyntilupa/max. 5.5 %;3184627-9
K-Market Satamakatu;Satamakatu 8;33200;Tampere;Tampere;13.06.2021;Vähittäismyyntilupa/max. 5.5 %;3208942-5
K-Market Saumantie;Saumantie 26;61300;Kurikka;Kurikka;06.06.2021;Vähittäismyyntilupa/max. 5.5 %;N/A
K-Market Saunakallio;Wärtsilänkatu 54;04400;Järvenpää;Järvenpää;06.01.2023;Vähittäismyyntilupa/max. 5.5 %;N/A
K-Market Sauvo;Timperintie 1;21570;Sauvo;Sauvo;03.05.2017;Vähittäismyyntilupa/max. 5.5 %;2097716-9
K-Market Sauvo;Timperinkatu 1;21570;Sauvo;Sauvo;06.04.2021;Luovutuspaikka;1505551-4
K-Market Savela;Savelantie 11;00720;Helsinki;Helsinki;01.12.2020;Vähittäismyyntilupa/max. 5.5 %;N/A
K-Market Savitaipale;Torikatu 5;54800;Savitaipale;Savitaipale;01.04.2022;Vähittäismyyntilupa/max. 5.5 %;N/A
K-Market Siilitie;Siilitie 11;00800;Helsinki;Helsinki;28.01.2022;Vähittäismyyntilupa/max. 5.5 %;3255830-8
K-Market Siltis;Malminsuontie 2;49220;Siltakylä;Pyhtää;13.05.2022;Vähittäismyyntilupa/max. 5.5 %;3280235-8
K-Market Simonkallio;Simonkalliontie 2;01300;Vantaa;Vantaa;20.11.2017;Vähittäismyyntilupa/max. 5.5 %;2862687-3
K-Market Simontori;Ratatie 1;95200;Simo;Simo;08.04.2019;Vähittäismyyntilupa/max. 5.5 %;2987245-1
K-Market Simontori;Ratatie 1;95200;Simo;Simo;10.03.2020;Luovutuspaikka;1505551-4
K-Market Sipurantie;Päivänsäteenkatu 2;15320;Lahti;Lahti;01.06.2019;Vähittäismyyntilupa/max. 5.5 %;2995608-1
K-Market Sirkustori;Presidentinpuistokatu 14;28130;Pori;Pori;27.03.2022;Vähittäismyyntilupa/max. 5.5 %;3256507-3
K-Market Sodankylä;Ivalontie 2;99600;Sodankylä;Sodankylä;04.11.1998;Vähittäismyyntilupa/max. 5.5 %;1013479-0
K-Market Solina;Lähdetie 2;15540;Villähde;Lahti;10.12.2017;Vähittäismyyntilupa/max. 5.5 %;N/A
K-Market Somero;Rengastie 1;31400;Somero;Somero;03.07.2019;Vähittäismyyntilupa/max. 5.5 %;3001665-2
K-Market Soramäki;Tiilikankaantie 1;15880;Hollola;Hollola;20.10.2019;Vähittäismyyntilupa/max. 5.5 %;N/A
K-Market Sturenkatu;Sturenkatu 40;00550;Helsinki;Helsinki;01.03.2022;Vähittäismyyntilupa/max. 5.5 %;3260273-5
K-Market Suikkila;Konstanzankatu 4;20320;Turku;Turku;03.04.2019;Vähittäismyyntilupa/max. 5.5 %;2986260-8
K-Market Sundom;Sundomvägen 128;65410;Sundom;Vaasa;01.03.2004;Vähittäismyyntilupa/max. 5.5 %;1882355-8
K-Market Suodenniemi;Kirkkotie 2;38510;Sastamala;Sastamala;19.02.2015;Vähittäismyyntilupa/max. 5.5 %;1738609-3
K-Market Suomenlinna;Suomenlinna C 6;00190;Helsinki;Helsinki;12.02.2018;Vähittäismyyntilupa/max. 5.5 %;2878389-5
K-Market Suorama;Isolukontie 2;36220;Kangasala;Kangasala;01.03.2019;Vähittäismyyntilupa/max. 5.5 %;2974484-7
K-Market Syväsenvaara;Juppotie 2;96910;Rovaniemi;Rovaniemi;07.08.2017;Vähittäismyyntilupa/max. 5.5 %;N/A
K-Market Särkikangas;Pelkosenniementie 4;98120;Kemijärvi;Kemijärvi;01.04.2022;Vähittäismyyntilupa/max. 5.5 %;3268443-5
K-Market Särkilahti;Särkilahdenkatu 6;70700;Kuopio;Kuopio;29.05.2017;Vähittäismyyntilupa/max. 5.5 %;2830030-4
K-Market Särä;Iitiäntie 4;54710;Lemi;Lemi;01.02.2022;Vähittäismyyntilupa/max. 5.5 %;3254332-5
K-Market Sörkka;Hämeentie 31;00500;Helsinki;Helsinki;01.02.2014;Vähittäismyyntilupa/max. 5.5 %;2529828-8
K-Market Taavetti;Linnalantie 45;54500;Taavetti;Luumäki;19.02.2023;Vähittäismyyntilupa/max. 5.5 %;N/A
K-Market TahkonTähti;Tähtitie 1;73310;Tahkovuori;Kuopio;15.02.2007;Vähittäismyyntilupa/max. 5.5 %;0214885-0
K-Market Taivaltori;Talonpojantie 1;93400;Taivalkoski;Taivalkoski;04.02.2018;Vähittäismyyntilupa/max. 5.5 %;2748705-8
K-Market Taivassalo;Ihattulantie 2;23310;Taivassalo;Taivassalo;01.02.2018;Vähittäismyyntilupa/max. 5.5 %;2872097-4
K-Market Tammela;Hakkapeliitantie 4;31300;Tammela;Tammela;01.11.2022;Vähittäismyyntilupa/max. 5.5 %;3309654-7
K-Market Tampella;Lapintie 3;33100;Tampere;Tampere;07.05.2018;Vähittäismyyntilupa/max. 5.5 %;2522441-4
K-Market Tapionkatu;Tapionkatu 12;40100;Jyväskylä;Jyväskylä;22.05.2017;Vähittäismyyntilupa/max. 5.5 %;2824681-1
K-Market Tapuli;Maatullinaukio 1;00750;Helsinki;Helsinki;18.10.2020;Vähittäismyyntilupa/max. 5.5 %;1506468-0
K-Market Tervapata;Heimolantie 1;12400;Tervakoski;Janakkala;16.10.2022;Vähittäismyyntilupa/max. 5.5 %;3309319-4
K-Market Tervaportti;Vaalantie 26;91700;Vaala;Vaala;08.03.2004;Vähittäismyyntilupa/max. 5.5 %;1884098-0
K-Market Tervatori;Puolangantie 11;88300;Paltamo;Paltamo;01.11.2012;Vähittäismyyntilupa/max. 5.5 %;2499100-5
K-Market Tervola;Keskustie 84;95300;Tervola;Tervola;09.12.2004;Vähittäismyyntilupa/max. 5.5 %;1929621-9
K-Market Tesomajärvenkatu;Tesomajärvenkatu 14;33310;Tampere;Tampere;11.01.2022;Vähittäismyyntilupa/max. 5.5 %;3254895-1
K-Market Tietolantie;Tietolantie 1;08700;Lohja;Lohja;01.05.2018;Vähittäismyyntilupa/max. 5.5 %;2908401-7
K-Market Tiilikainen;Kauppakatu 6;82600;Tohmajärvi;Tohmajärvi;01.01.1969;Vähittäismyyntilupa/max. 5.5 %;0169994-1
K-Market Tikkari;Kirkkokatu 6;41160;Tikkakoski;Jyväskylä;01.04.2020;Vähittäismyyntilupa/max. 5.5 %;3121459-7
K-Market Tikkuri;Asematie 4-10;01300;Vantaa;Vantaa;01.09.2022;Vähittäismyyntilupa/max. 5.5 %;3297833-7
K-Market Timantti;Kaivotie 2;73600;Kaavi;Kaavi;27.09.2007;Vähittäismyyntilupa/max. 5.5 %;1882857-8
K-Market Toivontie;Toivontie 4;64900;Isojoki;Isojoki;21.11.2015;Vähittäismyyntilupa/max. 5.5 %;2720785-3
K-Market Tolsa;Tolsantie 16;02400;Kirkkonummi;Kirkkonummi;11.01.2023;Vähittäismyyntilupa/max. 5.5 %;N/A
K-Market Tommola;Vuorikatu 2;18130;Heinola;Heinola;27.03.2022;Vähittäismyyntilupa/max. 5.5 %;3270999-7
K-Market Topeliuksenkatu;Eino Leinon katu 7;00250;Helsinki;Helsinki;01.06.2017;Vähittäismyyntilupa/max. 5.5 %;2832680-3
K-Market Torghallen;Sollefteågatan 9;66900;Uusikaarlepyy;Uusikaarlepyy;27.03.2007;Vähittäismyyntilupa/max. 5.5 %;2089797-8
K-Market Torikeskus;Väinönkatu 11;40100;Jyväskylä;Jyväskylä;25.10.2018;Vähittäismyyntilupa/max. 5.5 %;2058742-7
K-Market Torinranta;Saaristonkatu 2;90100;Oulu;Oulu;25.10.2022;Vähittäismyyntilupa/max. 5.5 %;1928866-5
K-Market Toriportti;Lapinkävijäntie 3;96100;Rovaniemi;Rovaniemi;11.02.2018;Vähittäismyyntilupa/max. 5.5 %;2843412-6
K-Market Tornion Olavinlinna;Puutarhakatu  4;95400;Tornio;Tornio;10.07.2016;Vähittäismyyntilupa/max. 5.5 %;2766917-7
K-Market Toukola;Hämeentie 155;00560;Helsinki;Helsinki;21.05.2018;Vähittäismyyntilupa/max. 5.5 %;N/A
K-Market Tuira;Valtatie 61;90500;Oulu;Oulu;10.10.2016;Vähittäismyyntilupa/max. 5.5 %;2780635-4
K-Market Tunnelitie;Tunnelitie 10;00320;Helsinki;Helsinki;06.01.2023;Vähittäismyyntilupa/max. 5.5 %;N/A
K-Market Tuohitorvi;Yrittäjäntie 1;82730;Tuupovaara;Joensuu;01.03.2002;Vähittäismyyntilupa/max. 5.5 %;1740385-0
K-Market Turku Tampereentie;Tampereentie 2;20300;Turku;Turku;10.12.2017;Vähittäismyyntilupa/max. 5.5 %;2869264-3
K-Market Turuntie;Turuntie 19-21;32200;Loimaa;Loimaa;01.06.2020;Vähittäismyyntilupa/max. 5.5 %;N/A
K-Market Tuuliviiri;Pihlajatie 3;50130;Mikkeli;Mikkeli;01.03.2023;Vähittäismyyntilupa/max. 5.5 %;3335176-3
K-Market Tuusniemi;Jokitie 3;71200;Tuusniemi;Tuusniemi;01.05.2017;Vähittäismyyntilupa/max. 5.5 %;2819043-2
K-Market Tyrnävä;Ketolantie 3;91800;Tyrnävä;Tyrnävä;21.05.2017;Vähittäismyyntilupa/max. 5.5 %;2828232-9
K-Market Töyrynummi;Pertunpellontie 4;00740;Helsinki;Helsinki;01.02.2021;Vähittäismyyntilupa/max. 5.5 %;3181961-7
K-Market Uittamo;Ratsumiehenkatu 8;20880;Turku;Turku;10.12.2017;Vähittäismyyntilupa/max. 5.5 %;2867612-5
K-Market Uotila;Uotilan Vanhatie 37;26510;Rauma;Rauma;02.02.2021;Vähittäismyyntilupa/max. 5.5 %;3180423-9
K-Market Uppa;Koulukatu 50;60100;Seinäjoki;Seinäjoki;01.04.2020;Vähittäismyyntilupa/max. 5.5 %;3119997-2
K-Market Utajärvi;Vanhatie 52;91600;Utajärvi;Utajärvi;06.10.2020;Luovutuspaikka;1505551-4
K-Market Uus-Lavola;Merenlahdentie 16;53850;Lappeenranta;Lappeenranta;27.11.2017;Vähittäismyyntilupa/max. 5.5 %;1968922-3
K-Market Uusi -Summa;Siitosentie 42;49420;Hamina;Hamina;18.06.2018;Vähittäismyyntilupa/max. 5.5 %;2895460-7
K-Market Vaarintori;Keskustie 15;92620;Piippola;Siikalatva;01.02.2019;Vähittäismyyntilupa/max. 5.5 %;N/A
K-Market Vahtero;Toukomiehentie 2;45120;Kouvola;Kouvola;01.05.2020;Vähittäismyyntilupa/max. 5.5 %;N/A
K-Market Valjaspuisto;Limingantie 8;90400;Oulu;Oulu;13.04.2023;Vähittäismyyntilupa/max. 5.5 %;2910829-3
K-Market Valtakatu;Valtakatu 16;45700;Kuusankoski;Kouvola;09.03.2020;Vähittäismyyntilupa/max. 5.5 %;3116394-5
K-Market Vammala;Nuutilankuja 4;38200;Sastamala;Sastamala;13.11.2017;Vähittäismyyntilupa/max. 5.5 %;2197125-2
K-Market Vanattarantie;Vanattarantie 2;37550;Lempäälä;Lempäälä;01.03.2019;Vähittäismyyntilupa/max. 5.5 %;2974724-7
K-Market Vanha Vaasa;Kauppiaankatu 2-4;65380;Vaasa;Vaasa;14.03.2019;Vähittäismyyntilupa/max. 5.5 %;2977211-9
K-Market Vanhakylä;Lempääläntie 286;37630;Valkeakoski;Valkeakoski;15.05.2021;Vähittäismyyntilupa/max. 5.5 %;1710986-2
K-Market Vapari;Valtakatu 51;53100;Lappeenranta;Lappeenranta;14.04.2022;Vähittäismyyntilupa/max. 5.5 %;N/A
K-Market Vasaramäki;Lehmustie 25;20720;Turku;Turku;01.07.2022;Vähittäismyyntilupa/max. 5.5 %;N/A
K-Market Veikkola;Turuntie 563;02880;Veikkola;Kirkkonummi;04.12.2017;Vähittäismyyntilupa/max. 5.5 %;1777197-9
K-Market Veitikka;Koisotie 1;90580;Oulu;Oulu;01.02.2023;Vähittäismyyntilupa/max. 5.5 %;2910829-3
K-Market Vesala;Rekipellontie 2;00940;Helsinki;Helsinki;27.03.2022;Vähittäismyyntilupa/max. 5.5 %;N/A
K-Market Vesilahti;Kesontie 2;37470;Vesilahti;Vesilahti;01.08.2021;Vähittäismyyntilupa/max. 5.5 %;N/A
K-Market Viirinkangas;Viirikankaantie 19;96300;Rovaniemi;Rovaniemi;01.06.2016;Vähittäismyyntilupa/max. 5.5 %;2756110-7
K-Market Vilja;Kenraalintie 9;42300;Jämsänkoski;Jämsä;24.02.2021;Luovutuspaikka;1505551-4
K-Market Villilä;Ratakistonkatu 7;33300;Tampere;Tampere;01.04.2022;Vähittäismyyntilupa/max. 5.5 %;0836035-0
K-Market Virontörmänkatu;Virontörmänkatu 9;33310;Tampere;Tampere;11.01.2022;Vähittäismyyntilupa/max. 5.5 %;3254895-1
K-Market Visamäki;Visamäentie 16;13100;Hämeenlinna;Hämeenlinna;01.10.2022;Vähittäismyyntilupa/max. 5.5 %;N/A
K-Market Viso;Satakunnankatu 30;27510;Eura;Eura;09.10.2008;Vähittäismyyntilupa/max. 5.5 %;2185006-3
K-Market Visuvesi;Eeliksentie 1;34870;Visuvesi;Ruovesi;01.07.2022;Vähittäismyyntilupa/max. 5.5 %;3286156-9
